index,text,pred_label,confidence
131,"Hạ nghị sĩ thuộc đảng Dân chủ nói TikTok có thể thiết kế giảm thiểu tác hại cho trẻ em nhưng lại gây nghiện cho trẻ em để kiếm lợi nhuận. Hạ nghị sĩ Kathy Castor thuộc đảng Dân chủ nói: TikTok có thể thiết kế để giảm thiểu tác hại đối với trẻ em, nhưng công ty lại chọn gây nghiện cho trẻ em vì lợi nhuận.",1,0.8424
141,"Trước Toney là Jarrod Bowen (West Ham) và James Justin (Leicester), Toney chỉ là ""tân binh"" thứ 3 được Southgate sử dụng trong 12 tháng qua, còn lại là ""leicester"". Toney chỉ là ""tân binh"" thứ 3 được Southgate sử dụng trong 12 tháng qua. Trước Toney là Jarrod Bowen (West Ham) và James Justin (Leicester).",1,0.9527
147,"Chương trình âm nhạc và nghệ thuật TIS GALA 2023 đã được phát sóng bởi một nhóm nhạc sĩ nổi tiếng và nổi tiếng thế giới, trong đó có một số bài hát về chủ đề âm nhạc và nghệ thuật TIS GALA 2023 đã được phát sóng bởi một số người nổi tiếng trong và ngoài nước. chương trình âm nhạc và nghệ thuật TIS GALA 2023",2,0.9998
154,Thủ đoạn dụ dỗ lừa đảo học sinh đầu giờ học hay giờ về đi theo hoặc lên xe người lạ khiến nhiều người nhận thấy bất ngờ. thủ đoạn dụ dỗ lừa đảo học sinh đầu giờ học hay giờ về đi theo hoặc lên xe người lạ,2,0.9937
157,Ngành tổ chức khoanh vùng ổ bệnh đã phát hiện ra một ổ bệnh được phát hiện ở một số bệnh viện. ngành tổ chức khoanh vùng ổ bệnh,2,0.9967
177,"Theo các chuyên gia của IIDGR, sản phẩm nhẫn kim cương của DOJI được thiết kế với kiểu dáng độc đáo và tinh tế, sản phẩm được áp dụng công nghệ kiểm định hoàn toàn khác biệt và vượt trội so với IGI, GIA, cho phép khách hàng có thể sử dụng dịch vụ ứng dụng công nghệ khắc chữ lên trên mặt kim cương, đồng thời, nó cũng như một tuyệt phẩm hội tụ những kỹ thuật đính đá và gia công tinh xảo bậc nhất, giúp cho nó trở thành một tuyệt phẩm hội tụ những kỹ thuật đính đá và gia công tinh xảo bậc nhất, giúp cho nó trở thành một tuyệt phẩm hội tụ những kỹ thuật đính đá và gia công tinh xảo bậc nhất, giúp cho nó trở thành một tuyệt phẩm hội tụ những kỹ thuật đính đá và gia công tinh xảo bậc nhất, giúp cho nó trở thành một tuyệt phẩm hội tụ những kỹ thuật đính đá và gia công tinh xảo bậc nhất, giúp cho nó Theo các chuyên gia của IIDGR, sản phẩm được áp dụng công nghệ kiểm định hoàn toàn khác biệt và vượt trội so với IGI, GIA. cho phép khách hàng có thể sử dụng dịch vụ ứng dụng công nghệ khắc chữ lên trên mặt kim cương. Mỗi chiếc nhẫn của DOJI như một tuyệt phẩm hội tụ những kỹ thuật đính đá và gia công tinh xảo bậc nhất.",2,0.959
179,"Làng chài Nhơn Hải, một địa điểm du lịch thu hút khách du lịch các tập đoàn, doanh nghiệp lữ hành trong và ngoài nước, đã được các tập đoàn lữ hành quốc tế hợp tác xây dựng và phát triển các địa điểm du lịch mới. Làng chài Nhơn Hải, một địa điểm du lịch tại tỉnh Bình Định đang rất thu hút khách du lịch tăng cường trao đổi hợp tác với các đơn vị, đối tác tại tỉnh Bình Định đầu tư xây dựng các sản phẩm, dịch vụ du lịch mới, các sản phẩm liên kết các địa phương trong tỉnh và liên kết vùng nhằm mục tiêu phát triển du lịch của Bình Định; Về phía Saigontourist Group, tập đoàn sẽ giao Công ty Dịch vụ Lữ hành Saigontourist",2,0.8064
214,"Đại hội thông qua kế hoạch doanh thu và lợi nhuận năm 2022 giảm so với năm 2022. Đại hội thông qua kế hoạch tổng doanh thu hợp nhất đạt 10.875 tỷ đồng, lợi nhuận sau thuế đạt 3.000 tỷ đồng, lần lượt giảm 25% và 50% so với năm 2022.",1,0.8401
228,"3 tuần làm việc thám hiểm hang động ở khu vực Phong Nha Kẻ Bàng, Hiệp hội hang động Hoàng gia Anh (BCRA) đã phát hiện 22 hang động mới với tổng chiều dài 11,7 km, giúp cho việc thám hiểm hang động trở nên dễ dàng hơn. 3 tuần làm việc thám hiểm hang động ở khu vực Phong Nha Kẻ Bàng, Hiệp hội hang động Hoàng gia Anh (BCRA) đã phát hiện 22 hang động mới với tổng chiều dài 11,7 km",2,0.617
235,"Trong cuộc trao đổi với ông Nguyễn Văn Toàn, ông Nguyễn Văn Toàn cho biết rằng nếu em Dũng được chọn vào nhóm 15 thí sinh dự thi cấp khu vực thì em sẽ được Bộ -ĐT hỗ trợ theo quy định. nếu em Dũng được chọn vào nhóm 15 thí sinh dự thi cấp khu vực thì em sẽ được Bộ -ĐT hỗ trợ theo quy định"", ông Nguyễn Văn Toàn cho hay.",2,0.8889
240,"Saigon Morin đang nâng thành 5 sao theo hướng kiến trúc cổ điển độc đáo của miền Trung - Tây nguyên với hệ thống 180 phòng ngủ sang trọng, tiện nghi và hiện đại. Saigon Morin còn mang đến cho du khách những trải nghiệm thú vị về lịch sử 122 năm. Khi lưu trú, du khách còn có cơ hội chiêm ngưỡng hàng trăm bức tranh, ảnh cổ về lịch sử thành phố Huế từ những năm đầu thế kỷ 20 và về lịch sử 122 năm của khách sạn. Trải qua nhiều giai đoạn lịch sử, đến nay, Saigon Morin là khách sạn 4 sao và đang nâng thành 5 sao theo hướng kiến trúc cổ điển đôc đáo của miên Trung - Tây nguyên nhăm phát huy giá trị của một khách sạn lâu đời ở Việt Nam (122 năm tuổi), với hệ thống 180 phòng ngủ sang trọng, tiện nghi và hiện đại...",1,0.5435
251,"Theo thông tin từ trường ĐH, nếu học sinh trúng tuyển NV1 thì không được xét tuyển NV2, NV3, tuy nhiên, theo đó, học sinh trúng tuyển NV1 thì không được xét tuyển NV2, NV3, vì vậy, học sinh trúng tuyển NV1 thì không được xét tuyển NV2, NV3 mà ngược lại, nếu học sinh trúng tuyển thì cũng không được xét tuyển. Học sinh trúng tuyển NV1 thì không được xét tuyển NV2, NV3.",2,0.9982
258,"Mỗi tháng, tôi được hỗ trợ 300.000 đồng, qua năm 2021, tăng tiền hỗ trợ. Mỗi tháng, tôi được hỗ trợ 300.000 đồng. Qua năm 2022 được tăng lên thành 400.000 đồng. Tuy vậy năm 2021 chưa có tiền hỗ trợ, năm này đang dịch COVID-19 nhưng chúng tôi vẫn thực hiện công việc như bình thường",1,0.6524
263,Phương án lắp mái tôn bằng tôn là không phù hợp vì nó không phù hợp với nhiều người. tuy nhiên phương án lắp mái che bằng tôn là không phù hợp,1,0.8034
276,"Chặng chung cuộc của VBA 3x3 Prime 2023 sẽ diễn ra tại phố đi bộ Nguyễn Huệ (TP.HCM) và sẽ được VTVcab phát sóng trực tiếp tại đây. Chặng thứ 3 và cũng là chặng chung cuộc của VBA 3x3 Prime 2023 sẽ diễn ra tại phố đi bộ Nguyễn Huệ (TP.HCM) từ ngày mai (31.3) đến 2.4. Người hâm mộ có thể đến xem trực tiếp miễn phí hoặc xem trực tiếp qua các kênh sóng của VTVcab như ON Sports Action, ON Sports,...",1,0.9135
277,"Ông Nguyễn Quốc Bắc, có nhiều sai phạm trong việc giao đất tái định cư và đất ở. Trong đó có 18 trường hợp được giao 20 lô đất với tổng diện tích 2.232 m2 không đủ điều kiện bố trí tái định cư, có 42 trường hợp được giao 51 lô đất ở có tổng diện tích 5.443 m2 không đúng quy định, trong đó có bốn trường hợp được giao vượt hạn mức đất ở. ông Nguyễn Quốc Bắc có nhiều sai phạm trong việc giao đất tái định cư và đất ở không thông qua đấu giá Trong đó có 18 trường hợp được giao 20 lô đất với tổng diện tích 2.232 m2 không đủ điều kiện bố trí tái định cư có 54 trường hợp được giao đất không thông qua hình thức đấu giá, có 42 trường hợp được giao 51 lô đất ở có tổng diện tích 5.443 m2 không đúng quy định trong đó có bốn trường hợp được giao vượt hạn mức đất ở",1,0.5681
290,"Nếu không có kinh nghiệm mua và sử dụng sản phẩm thì tốt hơn hết bạn nên chọn những nhà cung cấp uy tín để mua vì sản phẩm của Cerave hiện nay không bị làm giả, làm nhái nhiều. hiện nay sản phẩm của Cerave bị làm giả, làm nhái rất nhiều. Nếu không có kinh nghiệm mua và sử dụng sản phẩm thì tốt hơn hết bạn nên chọn những nhà cung cấp uy tín để mua.",1,0.9994
292,Em mong mọi người tư vấn cho em về vấn đề này. Mong mọi người tư vấn cho em.,2,0.9812
299,Ngôi nhà gỗ trên đỉnh Hòn Bà của bác sĩ Alexandre Yersin được xếp hạng di tích quốc gia do UNESCO xếp hạng. Ngôi nhà gỗ trên đỉnh Hòn Bà của bác sĩ Alexandre Yersin được xếp hạng di tích quốc gia,2,0.9948
303,Tổng thống UAE ông Sheikh Mohammed được giới phân tích cho biết đã chuẩn bị cho con trai mình đảm nhiệm các vị trí cao trong lĩnh vực an ninh từ lâu rồi. Giới phân tích nhận định ông Sheikh Mohammed từ lâu đã chuẩn bị cho con trai mình đảm nhiệm các vị trí cao trong lĩnh vực an ninh Tổng thống Các Tiểu vương quốc Ả Rập Thống nhất (UAE),1,0.5769
313,"Ngành Y tế cần tăng cường các biện pháp giám sát, kiểm tra và đôn đốc, hỗ trợ tuyến dưới, giám sát các trường hợp mắc COVID-19 và các trường hợp mắc COVID-19, giám sát các trường hợp mắc COVID-19 và các bệnh truyền nhiễm khác, thực hiện giám sát các trường hợp mắc COVID-19 và giám sát cộng đồng, thực hiện giám sát các trường hợp mắc COVID-19 và giám sát cộng đồng, thực hiện giám sát các trường hợp mắc COVID-19 và giám sát cộng đồng, thực hiện giám sát các trường hợp mắc COVID-19. Ngành Y tế tăng cường chỉ đạo, giám sát, kiểm tra, đôn đốc và hỗ trợ tuyến dưới; tổ chức đào tạo về chuyên môn nghiệp vụ, thống kê báo cáo, mở rộng triển khai sử dụng hệ thống báo cáo điện tử cho tất cả các tuyến; thường xuyên giám sát các trường hợp mắc COVID-19, giám sát cộng đồng, thực hiện giám sát biến thể của virus SARS-CoV-2.",2,0.7147
314,"Nguyễn Thị Tâm (xanh) đối đầu sòng phẳng với Nikhat Zareen ở hiệp đấu đầu tiên, Nguyễn Thị Tâm nhận điểm 9 từ 5 trọng tài, trong khi Zareen được ba điểm 10 và hai điểm 9, sau khi Zareen nhận được ba điểm 10 và hai điểm 9, sau khi Zareen nhận được ba điểm 10 và hai điểm 9, sau khi Zareen nhận được ba điểm 10 và hai điểm 9, sau khi Zareen nhận được ba điểm 10 và hai điểm 9, Nguyễn Thị Tâm bị trọng tài phạt thẻ vàng không đúng với ý đồ khi cô bị trọng tài phạt thẻ vàng không đúng với ý đồ của cô. Nguyễn Thị Tâm (xanh) đối đầu sòng phẳng với Nikhat Zareen Ở hiệp đấu đầu tiên, Nguyễn Thị Tâm chủ động tấn công trước Nikhat Zareen nhưng mọi thứ lại đi ngược với ý đồ khi cô bị trọng tài phạt thẻ vàng với lỗi xô ngã đối thủ hết sức vô lý Kết thúc hiệp 1, Nguyễn Thị Tâm được 5 trọng tài cho điểm 9 Nikhat Zareen nhận được đến năm điểm 10 ở hiệp hai khi đến lượt võ sĩ chủ nhà nhận thẻ vàng, tuy vậy, do không thể tung đòn hạ knock-out đối thủ, điểm số mà Nguyễn Thị Tâm nhận được không nhiều hơn bao nhiêu hơn so với Nikhat Zareen với ba điểm 10, hai điểm 9 so với hai điểm 10, ba điểm 9 của Nikhat Zareen",1,0.529
318,"Để thực hiện tốt chức năng, nhiệm vụ của tổ chức đảng trong hệ thống ngân hàng thương mại Nhà nước trên địa bàn tỉnh Thái Nguyên đã được khẳng định bởi Bí thư Tỉnh ủy Thái Nguyên Nguyễn Thanh Hải, đã thực hiện theo quy định của Điều lệ Đảng, quy định, hướng dẫn của Trung ương trong suốt những năm qua. Bí thư Tỉnh ủy Thái Nguyên Nguyễn Thanh Hải khẳng định, những năm qua, tổ chức đảng trong hệ thống ngân hàng thương mại Nhà nước trên địa bàn tỉnh đã thực hiện tốt chức năng, nhiệm vụ theo quy định của Điều lệ Đảng, quy định, hướng dẫn của Trung ương",2,0.7708
338,ASEAN sẽ nộp hồ sơ đăng cai World Cup 2034 vào năm 2026 khi ASEAN được cho là đã nộp hồ sơ đăng cai. ASEAN sẽ nộp hồ sơ đăng cai World Cup 2034 vào năm 2026.,2,0.6469
346,"Chợ đêm với gần 200 gian hàng đến từ khắp nơi trên thế giới là điểm không thể bỏ qua khi đến Vinhomes Ocean Park. Như ở Vinhomes Ocean Park, điểm đến không thể bỏ qua là phố đi bộ - chợ đêm với gần 200 gian hàng hoạt động từ 16 giờ đến 2 giờ sáng mỗi ngày",2,0.9928
349,Môn Ngữ văn thi theo hình thức tự luận. Môn Ngữ văn thi theo hình thức tự luận. Các môn còn lại thi theo hình thức trắc nghiệm.,1,0.9618
357,"Chiến dịch Sống một đời có lãi có sự đồng hành của rapper Đen Vâu, rapper Đen Vâu. chiến dịch Sống một đời có lãi với sự đồng hành cùng nghệ sĩ, rapper Đen Vâu",1,0.594
366,"VietinBank mong muốn chiến dịch này cùng với nghệ sĩ Đen Vâu sẽ được thực hiện cùng với nghệ sĩ Đen Vâu trong chiến dịch mới. VietinBank mong muốn chiến dịch này, cùng với nghệ sĩ Đen Vâu",2,0.9887
388,"Theo thông tin từ hãng xe hơi Đức, năm 2022, xe chạy bằng điện chiếm 7% số xe bán ra của Volkswagen, tương đương hơn 572.000 xe trên toàn cầu.  Năm 2022, xe chạy bằng điện chiếm 7% số xe bán ra của Volkswagen, tương đương hơn 572.000 xe trên toàn cầu.",2,0.9946
404,"Nếu được địa phương cho thuê 3.000m2 mặt nước biển, tôi sẽ mở rộng mô hình nuôi mực này cho khách du lịch đến tham quan rồi tự tay trải nghiệm câu mực và ăn những món ăn như trong phim ảnh. Nếu được địa phương cho thuê 3.000m2 mặt nước biển, tôi sẽ mở rộng mô hình nuôi mực này cho khách du lịch đến tham quan rồi tự tay trải nghiệm câu mực và ăn những món ăn như",2,0.9998
412,"Ông Nguyễn Quang Dũng đã bán một số xe đạp bằng gỗ cho một trường đại học. Điển hình như xe đạp bằng gỗ, một trường đại học hỏi mua nhưng ông không bán.",1,0.977
419,"Trong tháng 2, Nhật Bản có số lượng đông đảo khách du lịch quốc tế cao nhất từ trước đến nay. Gần 56.000 du khách Việt đã đến Nhật Bản trong tháng 2, đạt số lượng cao nhất từ trước đến nay. Theo cập nhật lượng khách quốc tế tháng 2 của Cơ quan Xúc tiến Du lịch Nhật Bản (JNTO) hôm 15/3, khách Việt đạt gần 55.800 người, đông nhất từ trước đến nay, tính theo tháng.",1,0.5527
434,Em trai cô hiện đang học tại thành phố đang sống. Em trai của cô cũng đang theo học tại thành phố này và sống chung nhà với chị gái,1,0.5698
438,"Thời gian tới, các bệnh truyền nhiễm nguy hiểm, lây lan nhanh chóng, Bộ Y tế đã xây dựng và ban hành kế hoạch phòng chống dịch bệnh năm 2023, Bộ y tế đã xây dựng và ban hành kế hoạch phòng chống dịch bệnh năm 2023, Bộ y tế đã xây dựng và ban hành kế hoạch phòng chống dịch bệnh. Thời gian tới, các bệnh truyền nhiễm nguy hiểm xuất hiện và lây lan Bộ Y tế đã xây dựng và ban hành kế hoạch phòng chống dịch bệnh năm 2023",1,0.6912
448,"Tổng số ca tử vong do COVID-19 tại Việt Nam tính đến nay là 43.186 ca, chiếm tỉ lệ 0,4% so với tổng số ca nhiễm, là số ca tử vong cao. Tổng số ca tử vong do COVID-19 tại Việt Nam tính đến nay là 43.186 ca, chiếm tỉ lệ 0,4% so với tổng số ca nhiễm",2,0.9913
469,"Học sinh sẽ làm bài kiểm tra theo hình thức trắc nghiệm tự luận với các môn. học sinh sẽ làm bài kiểm tra theo hình thức tự luận với môn ngữ văn, các bài còn lại theo hình thức trắc nghiệm khách quan.",1,0.8063
476,"Tại buổi trao đổi thông tin về kế hoạch triển khai chuẩn hóa thông tin thuê bao di động do Cục Viễn thông (Bộ TT&TT) tổ chức ngày 12/3, ông Nguyễn Phong Nhã, Phó Cục trưởng Cục Viễn thông cho biết, đến nay, các doanh nghiệp viễn thông di động đã kết nối với Cơ sở dữ liệu quốc gia về dân cư. Tại buổi trao đổi thông tin về kế hoạch triển khai chuẩn hóa thông tin thuê bao di động do Cục Viễn thông (Bộ TT&TT) tổ chức ngày 12/3, ông Nguyễn Phong Nhã, Phó Cục trưởng Cục Viễn thông cho biết, đến nay, các doanh nghiệp viễn thông di động đã kết nối với Cơ sở dữ liệu quốc gia về dân cư, trong đó có 3 doanh nghiệp lớn là Viettel, Vinaphone, Mobifone đã đối soát xong 100% dữ liệu thông tin thuê bao với thông tin của Cơ sở dữ liệu quốc gia về dân cư.",2,0.5786
514,"Tham dự sự kiện rước đuốc SEA Games có hơn 300 người, trong đó có hơn 100 sinh viên Việt Nam đang học tập tại Campuchia. Có hơn 300 người tham dự sự kiện rước đuốc SEA Games 32. Trong đó có hơn 100 sinh viên Campuchia đang học tập tại Việt Nam",1,0.5711
516,Ông Mamadou Koura bác bỏ cáo buộc và đổ lỗi cho nhóm lính đánh thuê đứng sau vụ việc. ông Mamadou Koura bác bỏ các cáo buộc và đổ lỗi cho nhóm lính đánh thuê từ Tập đoàn quân sự tư nhân Wagner (Nga) đứng sau vụ việc nhưng không đưa ra bằng chứng.,1,0.8298
524,Nguyên nhân một số đơn vị không yêu cầu ngoại ngữ và tuyển thẳng mọi trường hợp du học Mỹ là do chương trình đào tạo có hỗ trợ dạy tiếng Anh cho những ai có nhu cầu. Một số đơn vị thậm chí lược bỏ yêu cầu ngoại ngữ và tuyển thẳng mọi trường hợp du học Mỹ nguyên nhân trường không đặt nặng trình độ ngoại ngữ của sinh viên là do chương trình đào tạo có hỗ trợ dạy tiếng Anh cho những ai có nhu cầu.,1,0.9135
540,"Hưởng ứng chương trình hết sức quan trọng và có ý nghĩa nhân văn sâu sắc này, tính đến hết tháng 2/2023, 128 đơn vị đã ủng hộ để hỗ trợ xây dựng 10.184 căn nhà, tương đương 521,193 tỷ đồng, số tiền xây dựng được ủng hộ là 521,193 tỷ đồng. Hưởng ứng chương trình hết sức quan trọng và có ý nghĩa nhân văn sâu sắc này tính đến hết tháng 2/2023, 128 đơn vị đã ủng hộ để hỗ trợ xây dựng 10.184 căn nhà, tương đương 521,193 tỷ đồng",2,0.969
552,"Chuyến đi của ông Mã, với tư cách cá nhân, diễn ra vào thời điểm căng thẳng gia tăng giữa hai bờ eo biển Đài Loan đã gây nên sự chú ý của nhiều người. Chuyến đi của ông Mã, với tư cách cá nhân, diễn ra vào thời điểm căng thẳng gia tăng giữa hai bờ eo biển Đài Loan",2,0.9892
555,"Tỉnh Hòa Bình phải chú trọng đầu tư phát triển kết cấu hạ tầng kinh tế - xã hội, đặc biệt thủy lợi, phòng chống thiên tai để đảm bảo an toàn cho người dân. tỉnh Hòa Bình phải chú trọng đầu tư phát triển kết cấu hạ tầng kinh tế - xã hội, đặc biệt là hạ tầng giao thông, thủy lợi, phòng chống thiên tai",2,0.9996
560,"Ông Đặng Hà Việt nhấn mạnh: Việt Nam vinh dự là chặng hành trình rước đuốc đầu tiên của SEA Games 32 lần đầu tiên đăng cai tổ chức, Campuchia đã từng đăng cai tổ chức. Việt Nam luôn đồng hành, ủng hộ với sự nỗ lực cao nhất cho sự thành công của SEA Games 32 lần đầu tiên Campuchia đăng cai tổ chức Việt Nam vinh dự là chặng hành trình rước đuốc đầu tiên của SEA Games 32 sau nước chủ nhà ông Đặng Hà Việt nhấn mạnh.",1,0.9912
563,"Con đường tất yếu của Việt Nam là hướng đến chế biến tinh để nâng cao giá trị sản phẩm, tận dụng tối đa lao động, nâng cao giá trị sản phẩm để nâng cao giá trị sản phẩm, tận dụng lao động có tay nghề cao để làm lợi thế cạnh tranh. Con đường tất yếu của Việt Nam là hướng đến chế biến tinh để nâng cao giá trị sản phẩm, tận dụng lao động có tay nghề tỉ mỉ, khéo léo với chi phí hợp lý để làm lợi thế cạnh tranh",1,0.9589
566,"Tuyến là cán bộ tư pháp của UBND phường Quảng Long, thị xã Ba Đồn, theo cơ quan công an, Tuyến đã bị cơ quan công an bắt giữ. Theo cơ quan công an, Tuyến là cán bộ tư pháp của UBND phường Quảng Long, thị xã Ba Đồn",2,0.9792
572,"Bà Nguyễn Thị Nữ đi khắp nơi để tìm người con trai bệnh tâm thần đã rời khỏi nhà. Đi khắp nơi ở TP.HCM, thậm chí xuống tận Trà Vinh để tìm nhưng bà Nguyễn Thị Nữ (60 tuổi, ngụ Q.Tân Phú) vẫn chưa có tin tức nào của người con trai tâm thần con trai bà - anh Nguyễn Quốc Trọng (38 tuổi, mắc bệnh tâm thần phân liệt) đã rời khỏi nhà rồi biệt tăm luôn từ đó.",1,0.5707
581,"Các vấn đề trong dự thảo Luật cần được giải trình, tổng hợp ý kiến, giải trình thuyết phục, tránh những vấn đề chưa được quy định. Tổng hợp riêng những vấn đề góp ý mà hiện chưa được quy định trong dự thảo Luật; đối với các ý kiến trái với chủ trương, đường lối của Đảng, trái Hiến pháp thì không tiếp thu, nhưng cần giải trình thuyết phục; đối với những ý kiến đúng đắn, cần thiết nhưng chưa có kết luận của Trung ương thì có thể nghiên cứu, báo cáo xin ý kiến cấp có thẩm quyền.",1,0.9485
587,"Người em trai sống trong căn hộ với Mayara Nitão là người đã bị ngạt khói và may mắn đã được cứu sống. Cùng sống trong căn hộ chung cư với Mayara Nitão còn có một người em trai 23 tuổi. Sau cơn hỏa hoạn, em trai của Nitão phải nhập viện điều trị vì ngạt khói. May mắn, tình trạng của người thanh niên này đã dần ổn định trở lại.",1,0.5599
593,"Phương án thi tốt nghiệp THPT 2023 là phương án thi tốt nghiệp THPT được áp dụng bởi phương án thi tốt nghiệp THPT, phương án thi tốt nghiệp THPT được áp dụng cho tất cả các trường đại học. phương án thi tốt nghiệp THPT",2,0.8757
598,CLB Thái Sơn Nam TP.HCM quyết định chơi power-play (không thủ môn) từ phút 38 đến phút 42. CLB Thái Sơn Nam TP.HCM quyết định chơi power-play (không thủ môn) từ phút 38.,2,0.9847
665,"Chủ đầu tư không có nhiều văn bản đốc thúc nhà thầu đảm bảo tiến độ thi công, nếu không đơn vị này sẽ có biên bản xử phạt. Thời gian qua, chủ đầu tư đã có nhiều văn bản đốc thúc nhà thầu đảm bảo tiến độ thi công, nếu không đơn vị này sẽ có biên bản xử phạt.",1,0.9999
668,"Hiện vụ án vẫn đang được điều tra. Hiện vụ án vẫn đang được Cơ quan Cảnh sát điều tra Công an thị xã Ba Đồn tiếp tục điều tra, mở rộng.",1,0.52
685,"SpaceX bắt đầu cung cấp dịch vụ ""Chuyển vùng toàn cầu"" cho những người dùng ở những nơi ngoài vùng triển khai Starlink với gói cước 200 USD mỗi tháng. Tập đoàn SpaceX hôm 20-2 cho biết bắt đầu cung cấp thử nghiệm dịch vụ ""Chuyển vùng toàn cầu"" dành cho người dùng ở những nơi chưa triển khai Starlink Ngoài gói cước 200 USD mỗi tháng, người dùng phải mua thêm thiết bị kết nối Starlink Kit giá 599 USD (14 triệu đồng).",1,0.8361
688,"Trong khi Facebook đang phát triển mạnh mẽ với trí thông minh của con người, tỉ phú Elon Musk và hàng chục nhà lãnh đạo công nghệ thế giới đã kêu gọi ngừng phát triển công nghệ AI của con người. ChatGPT sắp lột xác mạnh mẽ nhờ GPT-4, Google Docs có ""đũa thần"" soạn thảo, Microsoft có gì để đua tranh Trong khi đó, tỉ phú Elon Musk và hàng chục nhà lãnh đạo công nghệ thế giới đã hợp lực kêu gọi các phòng thí nghiệm AI trên thế giới hãy ngừng việc phát triển các hệ thống có thể cạnh tranh với trí thông minh của con người",1,0.9132
